update,mean_reward
1,0.04305724799633026
2,0.053551025688648224
3,0.06249450892210007
4,0.07075195014476776
5,0.07502197474241257
6,0.07673583924770355
7,0.08317077904939651
8,0.08612000197172165
9,0.0883306935429573
10,0.08902527391910553
11,0.09086426347494125
12,0.09611694514751434
13,0.09644898027181625
14,0.09861268103122711
15,0.09855225682258606
16,0.10268189013004303
17,0.10023132711648941
18,0.1009954884648323
19,0.10406739264726639
20,0.10340636968612671
21,0.10494202375411987
22,0.10899780690670013
23,0.10804871469736099
24,0.10888245701789856
25,0.10761231184005737
26,0.10704834759235382
27,0.10717286169528961
28,0.1104101687669754
29,0.10912232100963593
30,0.10996644198894501
31,0.1096649244427681
32,0.1091131716966629
33,0.11037781834602356
34,0.10922485589981079
35,0.10871094465255737
36,0.10874878615140915
37,0.1087963879108429
38,0.11064881086349487
39,0.11214233934879303
40,0.10961609333753586
41,0.11079895496368408
42,0.11249940097332001
43,0.11010925471782684
44,0.10956482589244843
45,0.11255493760108948
46,0.11210816353559494
47,0.11159485578536987
48,0.1120758056640625
49,0.11309327185153961
50,0.10830505937337875
